protein	iFOT.C_2_1	iFOT.C_2_3	iFOT.C_3_1	iFOT.C_3_2	iFOT.C_4_4	iFOT.C_4_5	iFOT.C_4_8	iFOT.C_5_3	iFOT.Z_1_3	iFOT.Z_1_4	iFOT.Z_2_10	iFOT.Z_2_11	iFOT.Z_4_12	iFOT.Z_5_6	iFOT.Z_5_7	iFOT.Z_6_3
Lcmt1	1.82	0.69	0.97	2.78	1.98	1.94	2.16	1.96	1.44	1.01	1.46	1.09	1.02	1.64	0.52	2.02
Prkaca	30.56	36.2	21.99	33.49	37.38	27.53	43.58	30.22	19.96	21.59	33.97	17.94	18.14	16.28	18.89	24.89
Ldha	165.6	159.99	136.91	151.85	134.42	155.24	165.7	167.78	150.91	135.53	129.84	151.45	142.95	142.62	167.58	172.55
Rpl4	45.44	60.47	58.85	42.76	48.45	26.03	74.03	66.67	52.21	27.82	56.8	15.91	29.84	31.64	24.98	38.89
Mical3	0.47	0.67	0.25	0.4	0.55	0.32	0.39	0.38	0.42	0.27	0.35	0.22	0.25	0.34	0.25	0.17
ATP8	44.66	39.57	57.81	45.36	69.07	40.6	54.69	57.11	30.38	30.17	50.22	26.76	35.24	31.29	25.65	39.54
Eif6	10.36	10.14	10.31	8.87	10	4.02	11.54	8.55	7.51	6.29	7.25	9.01	3.05	4.31	7.31	3.92
Ube2m	22.56	26.52	24.81	29.33	25.12	6.75	36.42	30.94	26.64	7.78	17.9	14.74	15.04	21.47	10.39	19.85
Kifap3	1.25	1.17	1.43	1.74	1.83	1.63	0.94	1.33	1.37	1.41	1.61	0.25	0.45	0.98	0.89	0.53
Lgi1	1.78	1.51	2.11	1.76	1.62	1.15	1.78	1.88	1.14	1.78	0.98	2.19	1.58	0.95	1.65	0.8
Rab31	5.52	4.94	5.38	5.06	5.53	5.56	3.79	5.11	3.65	1.98	3.87	4.15	3.45	2.12	4.32	3.5
Yaf2	0.85	1.19	1.37	1.77	0.52	0.86	0.63	1.69	0.71	0.91	0.71	0.91	0.58	0.79	0.72	0.55
Limch1	0.79	2.65	0.6	0.59	1.26	2.85	3.04	0.57	2.91	0.14	0.28	0.27	2.5	2.07	2.05	3.59
Cyb5b	25.49	21.85	30.52	24.99	31.37	36.13	23.78	18.15	14.91	19.97	16.13	26.62	12.75	20.58	16.52	12.97
Lin7a	0.71	1.17	0.46	0.81	1.44	1.52	2.96	4.44	1.08	1.09	1.01	1.59	1.05	0.71	1.07	0.99
Camk2b	56.36	72.28	44.63	59.55	56.63	44.64	75.9	57.63	46.27	27.91	48.64	34.81	36.29	28.45	38.94	48.67
Lingo1	11.26	6.69	10.36	7.13	13.13	10.99	5.69	6.74	4.65	4.71	5.32	10.66	5.98	8	8.22	7.19
Tenm2	1.73	1.33	1.55	1.78	1.9	1.39	1.27	1.49	0.84	0.85	1.15	1.08	0.91	1.46	1.06	0.9
Armc6	7.33	7.96	3.92	4.66	8.34	3.93	6.3	6.88	4.87	4.48	6	4.3	3.14	3.64	2.53	3.79
Dusp3	7.43	5.32	5.71	7.63	9.42	4.74	6.41	7.41	3.72	1.63	6.36	5.45	5.68	4.52	4.66	3.91
Lmnb1	53.45	65.8	70.76	46.1	73.24	26.44	80.72	77.05	91.79	65.43	96.73	50.16	90.29	71.99	87.34	85.41
Lmnb2	4.79	3.94	2.47	1.23	2.17	0.82	4.04	7.03	9.57	3.63	3.24	1.27	5.22	3.95	4.54	3.8
Plcb1	5.14	4.89	4.05	3.99	5.55	5.49	4.44	4.6	3.5	2.41	3.47	3.03	3.01	2.96	3.06	3.93
Add2	22.03	23.9	19.17	18.19	23.92	22.21	25.67	24.58	18.98	13.4	19.37	13.72	14.04	10.3	16.54	13.11
Akt1	1.48	2.94	1.7	1.56	2.05	1.84	3.1	2.45	2.91	1.31	1.57	1.57	0.93	1.12	0.86	1.15
LOC100862446	30.77	33.01	70.1	44.11	62.55	32.65	52.11	35.03	30.43	55.06	34.43	54.03	103.11	55.11	63.78	47.66
LOC100862455	51.77	32.28	46.72	31.76	26.88	17	40.68	40.65	61.45	11.81	29.89	19.25	22.72	13.19	22.76	27.88
LOC100862468	19.47	19.04	25.4	13.26	16.37	11.07	22.32	28.18	28.62	14.94	21.48	16.12	17.42	10.92	19.66	14.94
Pcdh10	3.22	2.85	2.64	2.8	3.41	2.87	1.39	4.8	1.86	1.5	1.77	2.01	1.7	3.03	2.86	1.25
Baiap2	1.74	2.11	1.75	2.74	2.21	1.51	2.37	1.75	1.28	2.13	1.72	1.48	1.39	0.64	1.03	1.11
LOC108167922	28.09	48.99	38.94	23.42	24.66	8.57	55.71	64.91	49.53	19.97	41.38	18.25	27.51	17.62	14.52	32.77
Pafah1b3	72.18	54.45	63.23	67.97	75.17	53.85	80.64	67.53	58.12	45.52	38.2	52.58	28.86	53.41	49.51	30.44
Lpcat1	0.54	1.21	0.82	0.83	0.87	1.25	1.06	1.44	1.26	0.44	1.14	0.32	0.79	0.66	0.59	0.6
Psmb5	47.29	51.72	34.08	45.32	45.97	26.47	51.56	50.19	39.8	20.6	32.67	28.06	38.88	20.08	29.44	25.53
Por	4.28	4.17	2.91	3.97	4.18	2.91	3.38	3.48	3.38	1.32	2.8	2.26	2.09	3.37	2.1	2.23
Pcdh8	0.23	0.27	0.31	0.22	0.41	0.15	0.31	0.32	0.14	0.28	0.18	0.27	0.25	0.07	0.07	0.23
Lrfn1	0.3	0.14	0.11	0.19	0.39	0.31	0.25	0.31	0.09	0.33	0.14	0.53	0.14	0.22	0.17	0.05
Ptprz1	25.22	18.32	25.14	19.14	27.38	30.32	22.03	19.58	12	17.37	13.42	16.47	19.23	17.99	14.56	14.49
Abr	1.69	2.49	1.42	1.9	2.45	2.73	2.51	2.9	2.21	1.68	1.65	0.62	1.01	1.37	1.5	2.1
Ubqln4	10.93	6.84	7.47	6.15	11.45	8.96	6.8	9.28	6.2	7.06	7.18	7.59	3.95	4.08	2.84	6.66
Nlgn3	7.8	5.49	5.66	5.6	7.32	7.38	6.64	5.44	4.68	4	4.1	3.56	3.19	5.62	4.14	5.23
Hras	6.51	8.94	7.05	6.36	6.65	8.78	8.58	7.66	2.83	8.83	6.77	4.54	3.31	3.18	7.29	3.95
Fkbp4	12.67	10.84	11.14	12.92	12.59	12.42	10.88	9.91	10.12	6.71	10.08	5.41	6.22	6.96	8.24	9.07
Lrrc47	2.56	1.38	1.65	3.01	2.36	2.25	2.36	1.21	2.14	1.62	3.05	1.73	2.61	1.57	1.78	1.45
Lrrc4b	2.8	1.8	1.65	1.57	4.96	1.15	2.95	1.47	2.41	1.74	2.71	3.02	1.83	1.85	2.08	2
Dnajc5	79.56	64.93	66.7	66.3	101.36	74.08	44.82	31.53	44.13	41.48	30.45	58.63	38.35	71.35	52.13	19.45
Rab11fip2	1.49	1.12	0.71	0.84	1.26	0.98	0.96	1.48	1.38	0.4	0.58	0.24	0.8	0.76	0.7	1.08
Lrrc8a	0.42	0.46	0.28	0.65	0.31	0.23	0.35	0.59	0.35	0.57	0.11	0.26	0.22	0.19	0.43	0.53
Lrrc8d	0.13	0.1	0.07	0.13	0.13	0.11	0.13	0.06	0.06	0.09	0.08	0.04	0.07	0.13	0.1	0.07
Syn1	22.57	20.58	19.79	24.62	25.35	18.08	30.26	25.43	18.14	13.22	20.78	14.31	13.76	13.71	20.66	11.04
Lrrfip2	0.24	0.4	0.58	0.41	0.42	0.86	0.4	0.2	0.24	0.72	0.66	0.81	0.14	1.42	1.19	0.27
Glud1	10.99	11.23	13.53	8.71	9.68	12.26	10.38	11.6	4.86	7.94	9.35	9.15	8.61	6.26	6.61	6.74
Lsamp	91.25	61.82	125.82	103.19	95.75	99.99	67.11	105.81	60.41	95.44	67.95	111.29	77.15	85.57	76.41	59.29
Lsm1	0.56	2.77	2.33	3.64	3.49	2.59	2.05	2.52	1.6	2.32	3.44	1.78	2	3.78	3.06	1.18
Lsm12	4.03	4.17	6.16	5.84	6.81	5.7	5.43	6.1	5.95	4.09	6.56	6.04	7.37	7.13	6.97	4.91
Lsm14a	2	1.86	0.89	0.92	0.57	0.52	2.48	2.05	1.55	0.71	2.52	1.59	1.33	1	0.67	1.77
Lsm14b	0.55	1.57	3.52	0.61	1.87	1.44	0.79	4.63	2.25	1.55	1.06	0.36	0.75	1.53	0.63	1.15
Lsm4	5.53	5.07	7.58	3.74	3.55	4.74	7.09	20.79	7.4	13.83	7.63	7.98	3.86	9.54	7.14	18.13
Lsm5	24.25	23.3	25.35	18.74	26.9	23.02	21.31	18.81	20.6	18.81	18.67	29.77	17.64	22.9	26.14	19.07
Lsm7	6.7	5.56	8.79	5.25	4.59	1.93	5.06	4.76	2.26	2.11	7.42	7.9	2.32	4.08	1.8	0.98
Lsm8	9.25	5.68	10.76	4.09	5.31	7.72	4.86	9.68	16.16	8.73	12.02	4.78	11.6	8.97	8.84	5.88
Eif3k	8.94	7.29	6.67	9.27	9.2	5.5	11.07	8.82	7.61	4.63	9.52	3.82	2.01	3.93	7.04	6.41
Lss	1.03	1.62	0.22	0.52	0.17	0.13	0.14	0.19	0.47	0.27	0.65	0.09	0.21	0.28	0.2	0.3
Lta4h	10.31	7.81	7.13	6.99	11.07	9.07	8.77	10.3	8.67	9.62	19.71	8.65	7.05	9.44	8.53	5.35
Soga3	2.71	2.3	2.18	1.73	4.09	4.09	3.55	4.73	2.54	1.43	2.58	1.84	1.44	2.2	2.69	2.4
Luc7l3	10.32	10.16	8.9	10.07	9.31	5.59	10.39	11.58	11.57	6.37	11.11	4.78	10.86	5.63	8.55	8.25
Gpsm1	6.84	9.72	6.05	7.81	9.01	6.21	9.77	5.31	3.49	2.94	6.98	3.46	6.75	4.59	6.46	6.26
Lxn	18.35	17.78	4.47	8.38	8.07	21.81	18.65	10.96	9.94	4.26	12.72	40.18	36.01	30.6	6.05	17.97
Rps4x	49.95	53.62	60.23	51.74	50.86	28.45	79.08	59.54	42.97	22.96	61.08	23.29	41.06	23.67	36.46	40.93
Rpl7	33.85	42.21	42.48	45.66	47.51	20.24	53.06	65.16	43.75	30.83	49.68	24.12	20.5	19.68	12.85	34.89
Ly6h	134.29	112.75	184.39	158.42	92.38	117.68	110.04	140.98	75.83	155.45	116.82	85.53	44.39	76.78	50.97	149.81
Cxadr	177.09	142.77	189.07	141.47	170.38	207.76	140.64	162.71	84.99	131.41	105	146.28	104.59	119.46	110.25	98.27
Ndufb10	8.21	9.55	14.26	10.02	15.77	10.68	12.97	14.37	6.9	9.35	8.85	6.7	3.31	12.15	5.52	12
Lypla2	16.72	11.92	14.6	23.21	12.53	12.03	19.5	16.11	18.48	10.73	21.35	13.94	16.35	13.6	16.87	10.66
Adk	6.73	7.07	8.37	6.91	5.68	6.26	10.16	7.71	6.34	4.64	7.21	3.55	5.68	2.6	4.69	5.2
Dctn5	5.39	8.8	5.52	8.65	8.17	7.31	5.25	8.04	6.11	5.08	3.93	3.93	4.73	3.2	5.94	5.83
Rap2c	9.45	9.5	5.99	6.43	8.64	7.44	9.18	8.08	6.78	3.85	9.38	5.9	2.12	3.01	9.14	3.79
Lzic	26.12	26.15	25.73	22.23	26.67	23.68	16.96	23.02	18.91	24.74	18.44	27.68	16.67	26.48	13.73	18.35
Lztfl1	2.63	2.42	1.16	2.14	1.45	0.81	1.63	2.93	1.7	1.93	1.45	0.82	1.42	2.27	1.32	1.95
Plxna4	3.83	3.5	4.65	5.32	4.99	3.77	4.02	3.25	2.28	2.63	2.44	3.77	2.3	3.61	3.27	2.36
Snap91	23.45	27.37	19.61	31.75	22.47	24.18	27.14	24.85	20.55	8.74	19.08	21.3	16.65	16.99	17.77	15.57
Chordc1	5.92	6.01	4.86	6.05	6.24	4.85	4.11	5.33	4.97	3.04	2.84	5.36	3.22	3.68	2.46	3.96
Madd	0.57	0.36	0.48	0.34	0.47	0.92	0.45	0.44	0.64	0.24	0.86	0.23	0.25	0.34	0.45	0.56
Maged1	1.97	1.37	2.77	0.39	4.73	3.21	0.13	0.38	2.47	0.12	0.28	3.42	1.26	2.52	0.1	3.54
Hagh	2.1	3.05	1.9	2.51	4.45	2.28	4.87	2.84	1.96	1.59	2.26	1.71	1.67	2.09	2.19	2.89
Hacd3	6.07	6.77	4.62	4.64	5.66	1.77	7.46	5.4	2.41	2.77	5	3.51	2.71	3.39	5.83	3.33
Inpp1	5.25	6.9	5.24	5.37	6.3	6.28	6.06	4.58	3.19	3.13	4.56	3.9	3.8	4.57	4.26	4.02
Magi1	0.59	0.23	0.22	0.07	1.06	0.31	0.41	0.67	0.32	0.4	0.27	0.26	0.15	0.3	0.34	0.17
Cnrip1	39.87	41.25	35.39	34.61	28.04	22.72	49.43	51.1	28.35	22.49	33.32	14.93	29.06	24.65	20.86	33.02
Manf	12.95	14.94	26.65	19.4	17.57	11.48	15.98	25.25	20.14	16.47	18.4	15.41	9.95	17.06	14.06	15.8
Ensa	33.27	26.25	25.65	32.72	38	43.96	24.37	28.24	13.76	26.8	15.07	37.11	17.32	26.9	19.45	16.13
Bzw1	10.22	7.98	8.75	8.06	11.68	6.19	9.77	8.85	7.71	6.15	6.14	5.46	7.06	5.29	5.35	5.75
Map1lc3a	122.03	137.87	100.06	134.2	146.23	136.39	163.95	152.94	141.94	95.71	126.69	70.78	121.6	116.73	124.56	133.12
Map1lc3b	19.81	18.09	16.73	20.58	22.25	21.15	20.81	22.43	19.06	15.89	17.49	13.15	19.35	14.74	23.05	20.37
Map1s	0.88	1.74	0.72	1.13	1.12	1.22	1.14	1.22	0.77	0.37	1.19	0.63	1.33	0.71	1.07	0.73
Map2k2	1.58	3.62	1.75	3.37	4.44	0.58	4.21	1.77	1.11	1.44	6.5	2.66	0.05	0.51	3.65	0.17
Map2k4	2.62	2.88	2.2	20.67	3.87	2.75	2.77	4.64	1.71	1.87	1.35	1.2	2.08	2.28	1.84	1.85
Map2k6	2.57	3.19	1.85	1.8	1.45	2.76	2.06	4.28	3.74	1.7	3.35	2.39	1.54	2.13	2.75	4.54
Map4	53.47	43.12	57.7	46.65	46.98	44.96	35.13	38.49	42.07	44.38	37.04	51.8	34.61	44.92	26.69	37.96
Ndufa5	21.85	15.72	21.8	21.8	24.41	15.64	22.84	17.37	12.08	9.95	19.16	12.7	14.48	19.24	10.24	12.68
Map6	25.86	21.05	28.6	28.78	23.95	35.82	17.27	23.93	14.92	21.35	18.32	29.91	18.47	26.72	19.66	16.03
Map7d1	1.75	4.28	5.33	4.07	2.66	4.43	2.57	3.91	2.63	3	1.6	2.61	1.79	2.72	2.42	4.46
Map7d2	1.54	1.09	1.23	0.95	0.92	1.07	1.34	1.11	0.54	0.81	1.12	0.72	0.79	1.65	0.64	0.74
Map9	0.23	0.47	1.09	0.62	0.41	0.64	0.25	0.48	0.32	0.06	0.84	0.06	0.17	0.11	0.14	0.28
Fnta	4.12	3.13	2.24	1.45	2.81	2.47	2.24	1.31	1.93	1.01	1.82	1.84	1.34	2.22	1.77	1.59
Mapk3	5.77	4.35	0.99	5.27	3.8	7.91	5.55	3.79	5.41	3.37	5.71	2.8	5.63	5.31	3.87	6.6
Ankmy2	1.03	0.78	0.68	1.31	0.86	0.9	1.22	1.22	0.85	0.36	0.99	0.53	0.68	0.57	0.59	0.91
Enoph1	3.46	5.59	3.01	2.59	4.64	3.37	4.38	3.7	2.15	2.24	2.69	2.48	3.24	3.93	1.51	2.83
Mapk8ip3	0.74	0.69	0.26	0.67	0.74	0.54	1.07	0.74	0.41	0.27	0.88	0.51	0.42	0.37	0.52	0.48
Mapk9	1.03	0.45	0.12	1.21	0.51	0.12	1.56	0.85	0.5	0.08	0.15	0.35	0.12	0.14	1.05	0.08
Epb41l1	16.39	14.89	10.51	15.85	17.42	12.22	15.36	15.67	8.28	9.02	12.32	11.57	6.87	11.61	12.65	8.88
Gna11	13.93	14.48	11.25	17.68	16.58	15.51	14.05	14.39	10.14	6.66	8.57	11.55	11.16	9.83	12.57	10.41
Ndufa6	1.78	3	1.74	2.34	2.76	2.16	3.25	3.24	2.72	1.35	3.03	1.24	1.09	1.67	1.42	1.4
Mapre3	12.36	15.98	14	12.51	11.52	8.54	17.38	19.3	12.69	8.03	11.74	7.08	11.07	10.44	14.48	12.05
Mapt	1186.65	808.44	999.27	1122	867.16	1400.04	646.36	758.4	567.84	772.52	512.84	1113.35	667.02	894.87	739.52	664.87
Marcks	587.55	424.9	645.18	547.31	698.8	772.91	425.68	397.87	337.82	691.29	399.92	1095.46	366.28	562.19	469.17	528.47
Marcksl1	667.65	592.32	659.6	655.62	663.06	931.87	480.62	609.15	451.01	760.04	438.13	852.61	672.98	919.96	658.13	568.49
Mark1	0.48	0.44	0.57	0.61	0.74	0.33	0.53	0.49	0.93	0.47	0.73	0.42	0.28	0.09	0.23	1.03
Mapre1	76.51	68.83	59.31	77.65	70.23	51.8	69.54	80.46	46.74	34.39	66.97	52.08	51.38	38.85	49.86	40.48
Mars	0.43	1.14	1.24	0.47	1	0.2	1.34	1.55	0.97	0.41	1.12	0.72	0.4	0.42	1.08	0.32
Plxna3	0.45	0.63	0.66	0.44	0.59	0.63	0.38	0.44	0.37	0.25	0.36	0.49	0.29	0.35	0.49	0.31
Dcx	124.98	139.26	111.59	128.34	125.57	96.72	156.78	135.54	120.91	86.32	113.96	55.55	81.59	73.05	71.95	96.96
Mat2a	9.38	8.22	2.87	8.36	13.11	4.5	11.46	11.07	7.52	6.98	10.94	6.22	5.46	5.57	5.22	5.58
Mat2b	2.62	2.74	1.82	3.45	3.08	1.49	2	3.23	3.35	0.96	2.9	1.11	2.97	0.7	0.75	2.11
Matk	0.39	0.44	0.35	0.36	0.47	0.31	0.45	0.59	0.35	0.45	0.27	0.21	0.54	0.23	0.32	0.4
Matn4	0.62	0.44	0.54	0.62	0.76	1.12	0.47	0.37	0.06	0.27	0.34	0.73	0.92	0.29	0.86	0.56
Matr3	103.01	114.21	103.81	91.53	87.71	35.87	98.58	94.79	130.27	60.08	97.76	41.39	93.7	52.27	58.91	88.05
Cops2	7.01	5.34	5.78	7.27	6.8	4.24	8.44	7.13	5.9	3.45	5.88	3.99	3.61	4.62	4.51	3.81
Max	4.67	8.61	4.48	3.37	4.01	5.38	3.85	4.27	1.26	10.91	6.77	10.83	3.52	3.28	3.79	2.62
Gsk3a	7.51	9.09	6.22	6.26	7.05	6.15	8.9	6.7	4.78	4.07	4.65	5.35	5.52	6.08	4.21	5.14
Mbd3	9.58	11.17	11.96	13.95	10.26	10.24	10.27	12.27	10.16	12.88	11.45	11.4	7.92	9.69	10.01	9.62
Ank2	11.87	11.02	9.02	10.63	11.18	11.81	9.09	10.14	5.98	6.13	7.24	9.88	6.84	8.34	7.63	6.25
Rps15a	44.18	61.39	56.4	49.41	44.85	28.23	57.5	65.72	46.44	16.22	59.35	13.55	42.74	27.08	31.1	44.13
Mcm2	0.53	0.56	0.23	0.28	0.47	0.07	0.14	0.37	1.13	0.29	0.37	0.17	0.66	0.13	0.61	1.09
Mcm4	0.12	0.46	0.17	0.13	0.3	0.02	0.39	0.21	0.69	0.02	0.67	0.03	0.57	0.18	0.31	0.45
Mcm5	0.47	0.33	0.29	0.33	0.33	0.1	0.37	0.19	0.48	0.19	0.4	0.23	0.25	0.2	0.26	0.29
Mcm6	0.09	0.46	0.16	0.15	0.47	0.1	0.46	0.04	0.82	0.34	0.46	0.12	0.69	0.09	0.59	0.56
Mcm7	0.42	0.45	0.19	0.42	0.37	0.19	0.43	0.38	0.47	0.31	0.32	0.17	0.57	0.17	0.47	0.43
Zfp266	0.23	0.23	0.26	0.19	0.22	0.17	0.22	0.19	0.11	0.19	0.2	0.12	0.16	0.12	0.14	0.14
Hmg20a	2.63	1.91	1.47	2.39	2.2	1.93	1.98	1.51	1.56	1.13	1.63	1.46	1.5	1.13	1.43	1.2
Nrd1	3.91	4.63	3.58	2.56	3.44	2.78	3.66	3.18	2.65	2.05	3.69	2.27	1.81	2.33	2.15	2.16
Ppme1	8.42	10.86	5.8	6.73	6.06	3.87	7.79	9.24	4.37	4.08	6.42	4.41	5.39	6.05	6.05	3.8
Mdga2	0.28	0.17	0.09	0.18	0.57	0.3	0.1	0.22	0.2	0.08	0.27	0.41	0.11	0.29	0.16	0.23
Mdh1	180.67	180.5	193.07	248.95	267.73	234.55	287.37	209.43	208.15	186.19	248.05	179.22	224.41	176.99	209.28	239.59
Mdh2	60.03	68.55	52.7	66.82	70.24	63.17	74.18	64.46	61.08	23.71	72.99	59.1	56.36	46.06	61.03	54.1
Calb1	10.88	8.04	11.27	11.46	10.75	14.77	9.7	12.5	6.45	6.76	10.08	6.02	6.41	3.28	9.35	13.34
Rab6a	122.78	122.95	109.7	121.45	135.62	109.48	140.42	132.2	98.86	83.86	99.2	74.17	80.68	83.44	83.83	82.66
Mdp1	5.98	4.51	7.48	7.69	5.78	4	6.35	5.76	3.88	4.19	9.55	5.46	7.01	8.73	8.66	8.82
Rab11b	99.08	101.23	93.89	97.87	107.9	109.11	117.79	118.56	74.92	72.64	92.15	47.27	60.39	77.68	83.11	75.59
Olfm1	3.5	2.37	5.86	4.08	2.55	3.22	2.04	3.05	1.63	2.09	2.46	1.98	2.55	1.79	2.75	3.18
Rab3a	49.53	49.72	58.55	58.61	68.34	62.01	56.28	60.7	39.31	37.09	43.06	38.55	34.88	48.99	39.24	39.77
Med14	0.1	0.08	0.06	0.15	0.07	0.01	0.12	0.1	0.09	0.01	0.1	0.03	0.07	0.02	0.05	0.04
Med21	0.92	0.45	1.28	0.85	0.94	1.15	0.43	0.34	0.3	0.52	0.39	2.61	0.61	0.73	0.7	0.25
Cdk5	8.8	10.85	6.67	6.63	7.2	8.53	12.8	11.07	10.61	4.83	9.04	4.7	5.75	4.63	4.92	5.82
Rgma	5.65	7.47	7.03	6.76	5.8	6.73	4.81	7.33	1.83	6.19	3.95	5.53	3.16	5.66	5.36	4.1
COX2	24.85	17.1	17.68	27.52	24.46	19.28	32.27	12.76	14.34	12.63	18.43	17.22	14.12	15.46	19.28	10.55
Mesd	2.33	2.79	4.79	4.37	3.85	0.4	2.44	3.91	4.76	2.53	7.7	1.12	1.97	1.68	4.05	4.27
Ddb1	5.75	8.56	7.16	8.01	8.13	4.95	10.41	9.75	8.3	3.27	8.67	2.02	6.51	3.31	5.61	5.82
Metap2	5.62	5.56	5.1	4.75	5.9	0.99	5.35	5.48	3.16	2.8	3.9	5.21	2.02	3.2	5.65	1.5
Eif3h	4.52	9.03	6.65	5.33	6.79	3.93	9.22	10.2	6.35	3.61	7.48	3.07	3.48	4.32	4.83	5.54
Akap12	14.46	14.68	10.21	9.61	9.42	10.74	8.07	10.75	6.73	4.63	6.6	15.18	5.05	10.71	7.56	4.65
Mettl26	0.89	0.65	1.05	0.75	0.83	0.85	0.87	0.64	0.65	0.77	0.64	1.03	0.55	0.99	0.94	0.63
Dhx57	0.21	0.26	0.27	0.22	0.3	0.2	0.25	0.26	0.35	0.11	0.2	0.1	0.18	0.18	0.11	0.13
Mff	0.98	1.81	1.29	0.18	0.65	1.61	0.09	0.42	0.86	1	0.82	0.81	0.08	1.15	0.51	1.2
Mgea5	3.21	3.81	1.83	2.57	2.99	1.82	2.13	1.96	2.48	2.4	2.4	1.74	2.75	2.21	2.18	2.11
Syn2	5.19	4.97	3.82	6.03	5.95	5.2	6.72	5.66	4.77	2.06	3.3	3.82	4.15	3.48	3.99	4.73
Mien1	4.16	3.87	3.58	2.76	6.04	6.45	2.66	3.31	2.96	4.41	2.89	3.31	2.95	3.81	4.17	4.4
Rpl31	58.9	66.66	62.12	48.6	50.38	24.8	88.28	83.67	29.68	53.61	64.75	45.85	36.76	26.04	35.38	44.39
5-Sep	15.01	11.67	11.36	15.19	14.84	18.35	19.99	20	14.3	7.87	11.54	8.33	8.72	12.76	12.65	11.85
Nme1	120.23	129.84	95.03	135.5	96.2	124.59	80.72	95.67	71.24	74.8	123.73	72.82	74.04	75.9	48.61	70.27
Pip4k2b	12.88	14.08	13.64	9.84	14.69	15.34	17.73	13.11	9.09	10.76	13.28	6.58	6.04	11.26	7.88	12.73
Mlec	1.28	1.65	1.72	0.68	1.67	1.33	1.27	2.89	2.04	1.22	1.06	0.64	0.33	1.27	2.14	1.93
Acly	14.54	15.81	12.2	18.04	14.32	13.37	18.3	16.64	14.13	10.15	13.93	8.3	8.97	9.4	9.04	12.1
Gpd1l	10.32	7.66	6.04	9.14	9	10.02	6.64	9.92	7.11	3.91	7.81	6.29	5.8	5.07	5.23	6.77
Atp2b1	26.14	28.75	18.93	26.01	29.91	23.03	24.89	19.25	16.59	13.74	25.02	15.65	17.82	15.53	15.77	17.61
Acat1	30.85	29.24	18.64	26.04	28.5	31	30.42	23.05	15.62	13.65	20.64	24.56	26.04	13.41	21.6	17.02
Map4k4	4.69	4.37	3.39	4.77	4.28	4.7	4.97	4.45	3.03	2.92	3.73	3.06	3.4	3.72	2.52	2.59
Mms19	0.21	0.19	0.11	0.37	0.28	0.07	0.1	0.34	0.15	0.01	0.31	0.1	0.11	0.12	0.06	0.06
Mnt	0.14	0.13	0.15	0.14	0.15	0.16	0.14	0.16	0.12	0.28	0.12	0.07	0.22	0.11	0.09	0.2
Mob4	8.54	4.65	1.09	5.52	3.28	5.02	0.14	3.81	5.65	4.23	9.05	7.22	3.37	4.95	7.41	5.87
Mocs3	0.44	3.9	0.69	2.71	2.75	2.12	2.33	2.94	4.36	0.52	0.21	0.14	2.59	2.36	0.22	0.12
Ncald	46.16	46.89	44.59	45.62	44.19	33.31	45.28	51.72	42.66	24.32	30.56	31.17	40.09	32.51	24.71	24.96
Sv2a	7.09	5.86	6.81	7.43	8.39	5.93	10.52	6.63	4.4	5.04	5.92	4.39	4	5.14	6.94	5.36
Psma2	25.35	25.1	19.65	23.35	20.35	16.29	26.54	20.2	22.9	9.37	26.38	8.51	17.19	12.41	11.36	16.02
Dnpep	13.93	12.2	11.27	15.44	13.78	10.91	11.89	16.77	9.17	7.14	14.89	5.35	10.22	8.16	8.73	10.93
Mpi	3.02	1.15	2.49	2.47	3.07	2.85	2.63	2.42	2.22	1.63	2.89	2.94	1.94	3.37	2.9	1.73
Mpp1	0.83	0.27	0.37	0.19	0.19	0.27	0.69	0.54	0.1	0.1	0.47	1.99	1.17	0.24	0.87	0.29
Mpp2	1.18	1.68	0.25	0.58	1.24	1.65	1.62	1.53	0.98	0.75	1.34	0.84	5.32	1.41	1.7	1.24
Sugt1	13.87	14.06	10.49	12.48	12.66	13.09	10.54	9.77	6.51	6.23	11.82	7.36	8.56	8.62	8.47	10.54
Phyhipl	12.02	16.46	15.14	16.55	16.25	16.78	23.35	21.74	10.01	9.88	13.99	10.82	7.9	12.92	14.83	16.84
Mpped2	0.59	2.58	1.26	0.76	0.57	0.58	1.63	1.04	2.95	1.67	1.58	0.8	0.56	0.9	0.61	0.62
Eif1b	5.4	5.2	3.94	6.06	5.84	4.02	4.93	4.7	3.5	2.4	3.67	4.65	3.29	3.8	3.31	3.57
Lrp1	3.93	3.88	3.87	3.68	3.94	3.12	4.33	4.44	3.67	2.26	3.5	2.23	2.34	2.51	2.24	3.2
Mrpl12	24.42	27.13	36.58	26.43	15.57	38.36	17.24	20.98	20.88	30.4	29.23	39.95	23.19	25.86	33.48	21.73
Grpel1	4.97	5.02	6.68	5.39	3.8	5.94	4.19	6.14	1.4	3.27	5.71	4.98	3.65	2.77	5.12	2.77
Mrpl40	2.53	2.26	3.55	3.32	1.42	1.86	2.44	1.74	1.73	1.9	2.15	2.19	1.58	3.02	1.64	1.86
Mrpl41	2.33	4.11	5.11	5.26	2.21	3.82	3.64	4.6	2.36	2.81	3.76	6.95	3.37	6.93	4.81	4.59
Mrpl46	0.34	0.35	0.26	0.22	0.24	0.16	0.53	0.31	0.11	0.12	0.45	0.26	0.36	0.31	0.24	0.15
